Row.names	strain1	strain2	strain3	annotation	subclass	class
K02032	0.5	0	0.166666666666667	peptide/nickel transport system ATP-binding protein | (GenBank) ABC transporter related	inner-membrane translocator	Sialidase_cluster
K01191	0.238095238095238	0	0.0952380952380952	alpha-mannosidase [EC:3.2.1.24] | (GenBank) glycoside hydrolase, family 38	Alpha-mannosidase	alpha_mannose_related_gene
K17320	0	0.333333333333333	0.333333333333333	putative aldouronate transport system permease protein | (GenBank) binding-protein-dependent transport systems inner membranecomponent	Sugar ABC transporter permease	43 kbp HMO cluster
K17624	0	0.333333333333333	0.333333333333333	endo-alpha-N-acetylgalactosaminidase [EC:3.2.1.97] | (GenBank) aprE; Subtilisin-like serine protease	Endo-alpha-N-acetylgalactosaminidase	GluNAc-GalNAc_related_gene
K01443	0	0.333333333333333	0.111111111111111	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25] | (GenBank) N-acetylglucosamine-6-phosphate deacetylase	N-Acetylglucosamine-6-phosphate deacetylase	GluNAc-GalNAc_related_gene
K15342	0	0.25	0.25	cas1e; type I-E CRISPR-associated endonuclease Cas1	type I-E	CRISPR_related_gene
K09951	0	0.142857142857143	0.142857142857143	cas2; type I-E CRISPR-associated endoribonuclease Cas2	type I-E	CRISPR_related_gene
K02777	1	0	0	sugar PTS system EIIA component [EC:2.7.1.-] | (GenBank) PTS system, glucose subfamily, IIA subunit	PTS system, glucose-specific IIABC component	GluNAc-GalNAc_related_gene
K02804	1	0	0	N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193] | (GenBank) PTS system, N-acetylglucosamine-specificIIBC subunit	PTS system, N-acetylglucosamine-specific IIBC component	GluNAc-GalNAc_related_gene
K03190	1	0	0	ureD, ureH; urease accessory protein	Urease accessory protein	urease_related_gene
K07046	1	0	0	L-fuconolactonase	L-fuconolactonase	Fucosidase_cluster
K07241	1	0	0	nickel/cobalt transporter (NiCoT) family protein	high-affinity nickel-transporter	urease_related_gene
K11960	1	0	0	urtB; urea transport system permease protein	urea inner-membrane translocator	urease_related_gene
K11961	1	0	0	urtC; urea transport system permease protein	urea inner-membrane translocator	urease_related_gene
K15923	1	0	0	alpha-L-fucosidase 2 [EC:3.2.1.51] | (GenBank) conserved hypothetical protein	Alpha-galactosidase	43 kbp HMO cluster
K22397	1	0	0	2-dehydro-3-deoxy-D-pentonate aldolase [EC:4.1.2.28] | (GenBank) dihydrodipicolinate synthetase	Dihydrodipicolinate synthase	43 kbp HMO cluster
K19119	0.666666666666667	0	0	Cas5; type I-C CRISPR-associated protein Cas5	type I-C	CRISPR_related_gene
K01206	0.6	0	0	alpha-L-fucosidase [EC:3.2.1.51] | (GenBank) Alpha-L-fucosidase	Alpha-L-fucosidase	Fucosidase_cluster
K01428	0.5	0	0	ureC; urease subunit alpha	Urease accessory protein	urease_related_gene
K01430	0.5	0	0	ureA; urease subunit gamma	Urease accessory protein	urease_related_gene
K03188	0.5	0	0	ureF; urease accessory protein	Urease accessory protein	urease_related_gene
K03189	0.5	0	0	ureG; urease accessory protein	Urease accessory protein	urease_related_gene
K18334	0.5	0	0	L-fuconate dehydratase [EC:4.2.1.68] | (GenBank) Mandelate racemase/muconate lactonizing enzyme, N-terminal domain protein	Mandelate racemase/muconate lactonizing domain-containing protein	Fucosidase_cluster
K19117	0.5	0	0	cas8c; type I-C CRISPR-associated protein Cas8c/Csd1	type I-C	CRISPR_related_gene
K19118	0.5	0	0	cas7c; type I-C CRISPR-associated protein Cas7/Csd2	type I-C	CRISPR_related_gene
K01186	0.333333333333333	0	0	sialidase-1 [EC:3.2.1.18] | (GenBank) glycosyl hydrolase, BNR repeat-containing protein	Sialidase A	Sialidase_cluster
K01190	0.333333333333333	0	0	beta-galactosidase [EC:3.2.1.23] | (GenBank) glycoside hydrolase family 2, TIM barrel	Beta-galactosidase	43 kbp HMO cluster
K01788	0.333333333333333	0	0	N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9] | (GenBank) N-acylglucosamine-6-phosphate 2-epimerase	N-Acetylmannosamine-6-phosphate 2-epimerase,NanE	Sialidase_cluster
K03187	0.25	0	0	ureE; urease accessory protein	Urease accessory protein	urease_related_gene
K07012	0.25	0	0	Type I-E CRISPR-associated protein Cas3	type I-E	CRISPR_related_gene
K00845	0.142857142857143	0	0	glucokinase [EC:2.7.1.2] | (GenBank) ROK family protein	ROK family transcriptional regulator	Sialidase_cluster
K17318	0.0714285714285714	0	0	putative aldouronate transport system substrate-binding protein | (GenBank) extracellular solute-binding protein, family 1	Family 1 extracellular solute-binding protein	43 kbp HMO cluster
K00965	0	0	0.142857142857143	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12] | (GenBank) UDP-glucose--hexose-1-phosphate uridylyltransferase	Lacto-N-biose phorylase	GNB-LNB_cluster
