"","tax","ERR525688","ERR525689","ERR525690","ERR525691","ERR525692","ERR525693","ERR525694","ERR525695","ERR525696","ERR525697","ERR525698","ERR525699","ERR525700","ERR525701","ERR525702","ERR525703","ERR525704","ERR525705","ERR525706","ERR525707","ERR525708","ERR525709","ERR525710","ERR525711","ERR525712","ERR525713","ERR525714","ERR525715","ERR525716","ERR525717","ERR525718","ERR525719","ERR525720","ERR525721","ERR525722","ERR525723","ERR525724","ERR525725","ERR525726","ERR525727","ERR525728","ERR525729","ERR525730","ERR525731","ERR525732","ERR525733","ERR525734","ERR525735","ERR525736","ERR525737","ERR525738","ERR525739","ERR525740","ERR525741","ERR525742","ERR525743","ERR525744","ERR525745","ERR525746","ERR525747","ERR525748","ERR525749","ERR525750","ERR525751","ERR525752","ERR525753","ERR525754","ERR525755","ERR525756","ERR525757","ERR525758","ERR525759","ERR525760","ERR525761","ERR525762","ERR525763","ERR525764","ERR525765","ERR525766","ERR525767","ERR525768","ERR525769","ERR525770","ERR525771","ERR525772","ERR525773","ERR525774","ERR525775","ERR525776","ERR525777","ERR525778","ERR525779","ERR525780","ERR525781","ERR525782","ERR525783","ERR525784","ERR525785","ERR525786","ERR525787","ERR525788","ERR525789","ERR525790","ERR525791","ERR525792","ERR525793","ERR525794","ERR525795","ERR525796","ERR525797","ERR525798","ERR525799","ERR525800","ERR525801","ERR525802","ERR525803","ERR525804","ERR525805","ERR525806","ERR525807","ERR525808","ERR525809","ERR525810","ERR525811","ERR525812","ERR525813","ERR525814","ERR525815","ERR525816","ERR525817","ERR525818","ERR525819","ERR525820","ERR525821","ERR525822","ERR525823","ERR525824","ERR525825","ERR525826","ERR525827","ERR525828","ERR525829","ERR525830","ERR525831","ERR525832","ERR525833","ERR525834","ERR525835","ERR525836","ERR525837","ERR525838","ERR525839","ERR525840","ERR525841","ERR525842","ERR525843","ERR525844","ERR525845","ERR525846","ERR525847","ERR525848","ERR525849","ERR525850","ERR525851","ERR525854","ERR525855","ERR525856","ERR525857","ERR525858","ERR525859","ERR525860","ERR525861","ERR525862","ERR525863","ERR525865","ERR525866","ERR525867","ERR525868","ERR525870","ERR525871","ERR525872","ERR525873","ERR525874","ERR525875","ERR525876","ERR525877","ERR525878","ERR525879","ERR525880","ERR525881","ERR525882","ERR525883","ERR525884","ERR525885","ERR525886","ERR525887","ERR525888","ERR525889","ERR525890","ERR525891","ERR525892","ERR525893","ERR525894","ERR525895","ERR525896","ERR525897","ERR525898","ERR525899","ERR525900","ERR525901","ERR525902","ERR525903","ERR525904","ERR525905","ERR525906","ERR525907","ERR525908","ERR525909","ERR525910","ERR525911","ERR525912","ERR525913","ERR525914","ERR525915","ERR525916","ERR525917","ERR525918","ERR525919","ERR525920","ERR525921","ERR525922","ERR525923","ERR525924","ERR525925","ERR525926","ERR525927","ERR525928","ERR525929","ERR525930","ERR525931","ERR525932","ERR525933","ERR525934","ERR525935","ERR525936","ERR525937","ERR525938","ERR525939","ERR525940","ERR525941","ERR525942","ERR525943","ERR525944","ERR525945","ERR525946","ERR525947","ERR525948","ERR525949","ERR525950","ERR525951","ERR525952","ERR525953","ERR525954","ERR525955","ERR525956","ERR525957","ERR525958","ERR525959","ERR525960","ERR525961","ERR525962","ERR525963","ERR525964","ERR525965","ERR525966","ERR525967","ERR525968","ERR525969","ERR525970","ERR525971","ERR525972","ERR525973","ERR525974","ERR525975","ERR525976","ERR525977","ERR525978","ERR525979","ERR525980","ERR525981","ERR525982","ERR525983","ERR525984","ERR525985","ERR525986","ERR525987","ERR525988","ERR525989","ERR525990","ERR525991","ERR525992","ERR525993","ERR525994","ERR525995","ERR525996","ERR525997","ERR525998","ERR525999","ERR526000","ERR526001","ERR526002","ERR526003","ERR526004","ERR526005","ERR526006","ERR526007","ERR526008","ERR526009","ERR526010","ERR526011","ERR526012","ERR526013","ERR526014","ERR526015","ERR526017","ERR526018","ERR526019","ERR526020","ERR526021","ERR526022","ERR526023","ERR526024","ERR526025","ERR526026","ERR526027","ERR526028","ERR526029","ERR526030","ERR526031","ERR526032","ERR526033","ERR526034","ERR526035","ERR526036","ERR526037","ERR526038","ERR526039","ERR526040","ERR526041","ERR526042","ERR526043","ERR526044","ERR526045","ERR526046","ERR526047","ERR526048","ERR526049","ERR526050","ERR526051","ERR526052","ERR526053","ERR526054","ERR526055","ERR526056","ERR526057","ERR526058","ERR526059","ERR526060","ERR526061","ERR526062","ERR526063","ERR526064","ERR526065","ERR526066","ERR526067","ERR526068","ERR526069","ERR526070","ERR526071","ERR526072","ERR526073","ERR526074","ERR526075","ERR526076","ERR526077","ERR526078","ERR526079","ERR526080","ERR526081","ERR526082","ERR526083","ERR526084","ERR526085","ERR526086","ERR526087"
"268","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei",18,11,0,2,7,0,0,3,0,3,0,11,0,0,1,2,1,1,15,0,10,0,2,0,14,1,14,0,11,3,3,0,12,0,3,0,0,6,0,0,0,7,2,0,0,12,1,5,0,19,2,2,0,14,3,4,4,2,10,1,4,0,0,4,0,6,9,1,0,15,0,4,1,0,14,18,2,6,1,0,1,0,0,10,4,6,0,13,0,2,0,2,0,1,0,0,0,0,0,0,4,2,0,1,5,0,0,3,3,2,0,12,0,2,4,1,15,4,2,4,0,26,1,2,0,10,4,15,8,0,1,18,0,0,0,9,0,6,0,2,5,0,0,3,1,3,1,8,3,2,1,11,5,3,0,6,26,6,4,3,0,0,2,2,0,12,1,0,0,49,0,0,2,0,16,1,15,1,0,7,2,5,2,2,1,2,0,8,8,2,8,0,11,2,7,2,4,7,2,1,0,3,1,4,13,4,0,17,0,10,0,5,8,2,0,3,3,1,0,15,22,3,1,11,14,2,0,8,13,5,0,6,0,0,0,0,11,5,0,4,1,0,0,19,9,2,2,1,8,0,0,1,3,0,0,0,5,0,0,3,13,4,0,2,31,1,2,12,4,11,0,9,3,1,0,10,0,4,1,12,2,0,1,6,3,0,0,12,0,6,0,1,3,0,0,6,0,1,0,6,8,0,0,11,23,0,7,7,1,3,0,14,1,1,0,20,3,0,0,10,2,4,0,1,2,0,7,2,0,0,0,2,1,1,7,0,7,3,4,4,2,13,16,4,2,0,8,5,0,0,19,7,1,0,4,0,11,6,6,1,0,0,4,0,13,0,6,2,3,0,13,5,0,0,10,1,2,2,0,0,3,1,4,5,36,2,8,20,0,9,11,5,0,0,16
"269","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_crudilactis",0,9,0,0,0,0,0,2,0,0,0,1,0,0,1,11,1,0,14,0,0,0,0,0,0,0,1,0,2,1,0,0,4,1,13,0,0,4,3,18,0,6,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,4,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,3,0,2,1,0,0,0,0,0,1,13,0,0,1,7,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,0,0,4,0,0,3,0,0,9,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,6,0,5,0,2,0,0,0,5,0,0,1,4,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,13,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,0,2,5,1,0,4,0,13,0,0,0,1,0,1,0,0,0,0,0,4,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,2,0,0,0,0,3,1,2,0,0,0,1,0,0,1,1,1,0,4,1,0,0,1,0,0,0,7,0,3,0,0,0,1,0,0,2,1,0,26,0,4,0,0,0,0,0,0,0,0,0,0,4,5,14,25,0,0,12,5,0,1,0,1,0,1,0,2,0,0,0,2,1,2,0,0,12,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,4,3,0,2,1,10,1,0,0,1,1,0,1,1,3,5,0,3,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,10,0,1,0,92,0,2,0,74,0,1,3,1,0,2
"270","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_cystitidis",7,1,1,0,7,15,0,1,0,4,0,7,0,0,0,11,3,0,21,0,0,1,3,0,1,0,0,2,2,2,2,0,9,2,0,1,0,4,0,0,0,6,0,0,0,7,0,1,0,11,0,0,0,17,0,3,5,4,10,0,1,7,43,8,0,33,2,0,5,2,0,3,1,0,2,11,0,1,0,4,0,1,0,8,1,22,0,2,0,14,0,2,0,0,0,0,1,0,0,6,30,0,0,3,9,1,0,2,2,0,0,11,0,2,5,4,24,10,0,3,5,4,0,0,1,19,2,6,1,0,0,3,1,0,1,2,1,2,0,1,5,0,0,17,0,3,1,5,0,16,0,11,0,1,0,10,1,14,2,1,0,0,0,1,0,8,0,0,0,9,0,1,0,0,4,1,12,3,0,0,0,14,0,11,2,3,1,9,0,0,0,0,4,2,2,0,5,4,0,9,0,10,3,7,7,1,2,10,3,24,1,3,0,3,0,3,0,1,0,8,10,84,14,19,1,1,0,16,3,3,0,6,1,3,0,1,2,0,0,1,0,0,0,7,5,3,28,2,0,0,0,10,0,0,2,0,7,0,8,2,9,3,0,4,2,45,20,1,0,0,0,0,0,0,0,10,0,2,0,3,0,0,17,38,0,0,0,4,1,2,0,0,0,7,0,5,14,21,0,4,4,3,0,3,1,0,0,3,4,5,2,4,3,0,0,10,1,1,0,16,0,2,0,4,1,1,3,0,1,0,2,1,0,0,3,5,5,8,3,15,3,7,6,3,14,0,28,1,5,0,10,0,0,0,4,4,11,2,7,0,2,0,4,2,3,1,3,0,2,0,6,0,0,0,1,0,0,2,3,1,5,3,12,0,1,0,0,3,2,12,4,1,2,0,45
"271","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_deserti",2,0,1,0,6,3,0,1,0,6,0,0,0,0,0,3,1,0,10,0,0,1,2,1,12,2,0,0,10,0,3,0,19,1,0,0,0,7,3,0,0,5,1,2,0,10,4,0,0,13,0,0,0,5,0,0,5,1,12,4,2,0,0,3,0,5,5,0,0,1,0,1,0,0,6,18,0,0,1,1,0,1,0,9,3,7,0,7,0,1,0,4,0,0,0,1,0,0,0,7,0,3,0,0,0,1,0,3,0,0,0,13,1,4,0,1,9,10,1,0,1,7,2,0,0,14,0,6,1,0,0,3,0,3,0,7,0,0,0,3,1,1,1,8,0,1,0,8,1,1,0,4,0,2,0,4,8,1,0,4,0,0,0,0,0,14,4,1,0,2,2,0,0,0,0,0,5,0,0,2,1,3,0,4,1,1,0,10,0,0,0,1,3,0,3,7,5,2,2,4,0,3,2,2,23,0,3,8,0,13,0,11,1,1,0,2,1,0,1,6,3,3,0,8,2,3,0,0,0,5,0,11,0,0,1,0,3,0,0,1,0,0,0,8,1,0,1,0,0,0,0,1,1,0,1,0,0,1,2,3,2,5,1,1,0,0,1,7,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,298,2,2,0,0,10,2,0,0,4,5,1,0,10,1,10,0,1,13,0,13,1,2,0,1,0,1,0,8,3,1,0,9,1,0,5,5,0,3,0,2,0,0,0,6,1,7,0,4,2,10,2,7,2,1,0,1,0,0,1,2,0,1,0,8,5,0,0,2,0,1,0,0,0,2,2,6,0,213,0,5,0,0,9,6,17,2,0,12
"272","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_diphtheriae",3,6,0,1,3,0,0,15,1,2,0,4,0,2,5,8,11,6,16,0,4,5,29,0,1,0,26,0,5,0,22,1,3,303,0,1,1,2,4,3,0,5,0,22,0,17,2,2,1,199,1,1,13,12,3,2,23,7,5,1,9,2,51,21,1,13,8,67,0,25,2,9,1,3,12,4,1,14,3,3,0,2,0,11,4,124,1,16,0,15,0,3,7,1,0,0,0,13,6,22,0,7,0,16,4,4,1,2,1,0,0,14,5,12,82,12,14,94,1,14,25,5,1,2,2,68,10,8,3,11,6,19,76,34,0,10,1,10,1,1,0,0,9,7,2,22,7,11,2,44,3,37,6,41,0,29,20,451,9,28,1,1,6,28,0,6,6,195,2,15,1,2,2,0,32,6,17,0,1,5,0,1099,2,6,2,345,0,36,5,3,10,2,7,6,5,10,32,5,1,29,0,4,3,2,1,141,6,16,1,27,4,46,57,9,0,99,1,8,0,25,3,4,0,4,3,8,0,12,6,225,0,7,0,4,2,9,6,1,0,1,48,5,0,26,24,35,1,8,33,0,0,30,17,0,2,0,16,19,5,15,38,6,3,16,19,47,0,12,9,89,2,6,7,1,0,8,0,68,1,2,0,24,6,26,0,1,1,13,10,14,6,4,4,21,0,0,1,54,11,2,21,0,0,24,10,1,101,5,15,5,1,3,0,0,2,16,4,13,2,10,4,99,7,7,6,2,6,30,34,1,4,3,7,3,8,10,63,12,1,3,125,67,30,15,78,1,16,0,3,4,5,1,87,0,5,7,120,3,7,3,24,2,24,166,1617,6,15,0,11,3,17,2,5,0,6,1,17,6,106,5,4,4,4,1,4,2,6,2,17,40,3,14,13,0,9
"273","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_doosanense",17,161,1,0,2,0,0,1,0,6,0,29,0,0,0,12,1,1,15,0,30,0,1,0,13,40,2,1,4,0,37,0,12,0,1,0,0,17,0,1,0,10,13,0,0,16,2,0,0,14,1,0,0,3,6,7,5,4,8,15,1,0,0,5,0,8,0,2,0,5,1,25,0,1,1,13,0,6,0,1,0,1,0,6,0,10,0,24,0,5,0,16,13,0,0,1,2,0,0,8,2,0,0,0,1,1,0,6,0,0,0,15,1,3,4,0,9,20,0,4,0,7,0,1,1,11,0,120,0,2,1,27,0,11,0,4,0,4,4,10,10,1,0,17,1,5,0,6,0,12,1,40,216,5,0,10,0,3,0,5,1,2,0,11,0,4,0,0,0,26,0,0,0,1,3,1,4,2,0,32,0,16,4,9,4,0,1,16,1,0,0,1,2,5,7,0,3,6,0,12,0,3,1,18,1,2,1,9,1,23,0,11,36,2,1,3,1,0,0,2,76,1,0,13,0,3,1,7,97,69,0,29,0,4,0,1,3,9,0,25,2,1,0,5,5,2,0,20,1,0,0,1,1,2,2,0,6,0,17,4,3,3,1,4,1,2,0,16,2,1,0,0,1,0,0,8,1,0,0,7,0,3,1,14,0,0,0,0,0,7,0,11,0,0,1,8,0,2,1,19,5,1,0,11,0,0,4,6,1,9,0,7,2,1,0,18,1,0,0,11,4,61,0,0,5,0,6,15,0,0,2,1,1,0,19,130,9,25,2,9,0,5,9,6,3,0,76,0,0,0,22,1,4,0,23,1,0,28,25,5,1,2,4,8,1,0,5,5,0,0,17,12,0,0,8,0,1,1,1,0,11,8,10,69,12,0,11,29,0,19,22,2,3,0,4
"274","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_efficiens",0,0,0,2,4,1,1,2,0,9,0,20,0,0,0,8,1,0,14,0,2,0,0,0,25,28,0,0,15,2,1,1,13,118,0,0,0,3,0,0,0,2,13,0,0,2,1,0,0,1,2,0,1,21,7,0,0,4,3,1,1,1,0,2,0,12,1,2,1,7,33,25,0,5,7,12,0,4,0,2,0,0,1,7,1,3,0,6,0,1,0,5,0,0,1,4,0,0,0,11,21,0,0,1,22,1,0,4,0,0,0,1,5,0,0,2,24,5,0,9,0,5,1,3,0,7,2,0,48,3,2,8,0,2,0,8,0,2,0,2,3,0,0,1,0,0,0,10,0,5,0,15,1,3,0,8,0,6,0,1,0,0,0,4,0,2,0,0,0,3,0,2,4,0,28,2,4,1,0,0,0,2,1,4,1,0,0,13,2,0,1,0,14,2,1,0,2,8,12,0,1,6,1,2,2,3,0,5,1,9,8,5,1,1,0,6,0,0,0,3,1,9,0,11,1,0,0,14,51,4,0,5,1,0,2,10,12,0,0,2,0,1,0,19,5,12,0,0,1,3,0,10,49,2,3,0,6,29,0,10,2,3,1,8,3,0,0,2,1,1,0,0,0,0,0,16,1,0,0,1,1,3,1,5,3,0,0,7,0,2,2,0,0,0,0,11,0,1,2,10,10,36,0,9,0,0,4,14,0,4,0,7,0,0,0,0,0,0,0,9,0,2,0,2,9,1,2,0,1,0,1,0,0,1,24,1,0,1,0,2,0,3,4,0,1,0,14,0,0,1,2,0,2,0,5,0,3,10,17,0,0,0,5,0,0,1,0,1,1,0,12,5,3,0,10,0,0,2,34,0,17,0,3,0,78,2,12,0,1,7,16,0,0,0,16
"275","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_epidermidicanis",15,1,0,0,1,18,1,3,0,15,0,18,9,1,0,3,7,1,8,0,1,2,3,0,2,1,2,1,12,0,1,0,6,6,7,0,0,2,0,1,0,1,6,0,0,2,66,62,0,177,3,0,0,7,2,1,6,4,1,21,15,0,33,3,0,26,13,37,2,8,0,1,0,1,0,3,0,4,0,2,1,5,1,9,1,26,0,10,0,7,0,23,0,2,0,0,0,2,0,4,7,61,0,9,1,1,0,2,0,0,0,4,13,4,134,88,24,2,5,2,2,3,1,8,0,6,1,8,1,1,0,2,0,7,0,2,1,0,0,5,13,27,18,6,1,9,3,1,1,4,0,30,0,5,0,4,8,6,0,0,0,0,0,9,0,0,4,1,1,7,1,0,2,1,4,1,2,0,1,4,0,15,1,2,1,6,0,37,0,1,0,0,3,3,6,1,2,4,0,10,3,4,3,3,3,3,3,8,0,29,0,8,1,1,0,2,8,10,0,5,1,51,0,4,2,4,0,3,10,10,2,14,3,0,0,0,0,0,0,3,4,1,0,4,29,17,1,0,2,0,0,8,69,4,2,0,3,47,1,6,7,2,1,6,0,1,1,7,9,6,0,2,0,0,1,2,2,4,0,9,0,2,0,0,2,0,0,9,2,3,0,0,2,3,0,2,12,26,1,0,8,27,0,14,0,1,14,3,14,2,0,10,3,4,1,11,5,3,0,4,2,19,1,7,10,0,1,0,1,0,0,1,1,0,7,2,6,1,9,0,2,8,23,0,17,0,2,6,0,0,15,0,12,0,8,3,6,5,4,2,5,2,2,0,55,0,3,2,13,3,3,10,0,0,3,2,109,1,55,0,4,3,20,2,3,0,5,1,8,15,9,6,5,0,1
"276","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_falsenii",1,3,0,0,20,1,2,64,0,19,0,3,2,43,0,1,0,3,9,1,0,0,1,0,0,0,0,0,18,2,0,0,27,45,0,1,0,8,0,1,0,1,0,0,1,28,1,0,0,37,2,0,0,6,0,1,3,2,16,21,7,0,1,2,0,25,0,1,0,0,6,21,5,0,1,5,25,0,2,0,0,0,0,18,1,14,1,1,0,2,0,10,3,1,0,2,4,0,0,0,6,4,0,0,0,1,0,0,2,0,0,2,0,2,0,0,7,1,0,3,0,14,0,1,0,12,2,2,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,5,0,2,0,7,0,6,2,8,0,2,0,5,0,3,1,1,0,1,0,4,0,3,0,0,0,15,0,0,1,0,4,1,8,0,0,0,5,40,0,3,0,7,0,17,5,0,0,1,5,10,6,2,6,11,0,2,0,2,2,4,0,2,0,12,0,7,0,12,0,1,1,0,1,0,0,1,6,1,1,1,0,2,2,5,0,4,0,3,1,0,0,2,11,0,0,0,2,0,0,18,9,3,1,0,11,0,0,4,0,2,2,0,18,2,0,0,4,1,0,1,0,1,0,6,4532,0,0,1,0,1,0,16,0,1,0,9,1,3,0,4,0,2,0,4,1,4,0,3,1,0,0,5,2,2,1,1,0,1,0,4,1,0,3,10,6,0,0,15,1,0,0,9,5,0,0,15,0,4,0,1,0,0,0,0,0,0,1,0,1,1,11,2,5,3,0,2,0,1,8,0,0,0,44,0,0,1,22,2,4,0,15,0,2,2,11,3,1,0,26,50550,5,0,30,0,0,0,0,5,0,0,4,0,0,0,0,0,30,0,2,1,0,0,18,7,2,1,24,91,4355,4,6
"277","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_flavescens",51,10,1,0,10,1,12,4,1,24,0,8,36,1,0,39,11,2,5,0,25,1,0,0,38,15,4,2,109,0,5,0,20,1,0,0,0,2,23,0,0,18,22,26,7,20,64,5,1,6,0,1,5,11,6,33,12,13,29,9,41,10,32,19,5,40,0,11,1,28,2,39,17,3,20,7,12,2,2,0,1,1,0,9,8,30,0,4,4,1,0,15,2,0,0,2,4,1,0,7,16,40,0,0,4,0,0,61,0,0,0,4,20,5,5,1,4,14,15,2,2,3,19,5,0,17,10,10,1,2,1,13,0,9,0,2,24,0,0,4,18,3,3,9,73,16,3,42,0,2,3,25,2,2,0,25,57,13,16,29,0,10,0,23,0,30,11,13,44,41,48,3,1,3,5,0,54,23,0,24,5,32,8,8,121,10,1,10,22,28,2,0,12,8,15,0,11,4,18,3,18,16,7,13,94,21,119,33,1,15,5,8,35,27,8,16,29,8,0,8,1,5,0,73,20,2,2,23,0,6,0,15,71,80,5,3,22,4,0,51,12,0,0,31,7,5,7,57,136,3,2,33,27,173,8,0,35,7,28,2,16,17,0,42,6,2,1,23,42,10,0,0,44,7,135,16,39,3,0,16,35,4,2,12,5,0,0,9,0,6,2,21,9,2,10,16,27,0,0,59,3,12,0,12,0,1,10,7,49,1,0,60,29,13,14,25,21,0,4,38,4,25,5,13,1,2,26,2,25,0,1,1,1,0,9,0,1,3,16,11,2,45,3,7,14,0,7,0,0,21,32,33,6,0,7,205,39,24,50,24,24,6,13,23,28,1,10,0,18,0,11,9,5,15,26,3,0,16,7,1,17,0,20,14,71,1,14,8,3,31,14,0,1,0,19
"278","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_frankenforstense",0,3,1,0,5,1,0,0,2,8,0,3,1,0,0,4,1,2,4,0,0,0,2,0,2,1,0,0,9,0,3,0,4,1,0,0,0,5,1,0,0,0,0,0,0,4,1,1,0,5,2,0,0,4,0,1,7,0,4,0,43,0,1,0,0,18,2,0,0,0,1,1,0,6,0,4,0,2,1,0,0,3,0,4,0,13,0,5,1,9,0,11,0,0,0,1,0,0,0,8,5,2,1,6,0,0,1,15,14,0,0,11,0,1,7,4,4,12,0,1,0,7,0,0,1,4,3,3,0,1,0,7,0,4,0,2,0,3,0,2,2,1,0,2,0,8,2,3,0,31,1,7,0,3,0,5,0,3,0,4,0,1,0,4,0,1,0,0,0,2,0,1,0,0,3,2,7,0,0,0,0,6,0,5,0,0,0,8,1,1,0,0,5,2,0,0,28,5,0,2,0,1,2,4,53,2,0,8,1,20,0,6,1,1,0,0,1,0,0,11,3,0,0,4,6,2,0,7,1,1,0,13,0,0,2,0,2,1,0,0,0,0,0,3,0,2,1,3,1,0,0,7,3,0,1,0,3,0,0,3,3,3,0,8,0,2,0,0,0,0,1,0,1,1,0,15,0,1,1,3,0,1,0,5,0,2,0,18,0,6,1,5,0,1,0,1,1,0,1,8,0,1,0,3,0,0,0,20,1,4,1,4,0,0,0,12,0,2,0,7,2,3,0,1,1,4,2,0,0,0,4,0,2,0,16,2,8,2,1,0,1,2,6,0,0,0,17,0,0,0,11,0,4,0,0,0,2,8,10,3,0,0,10,0,3,0,6,1,0,1,5,0,0,0,12,2,2,0,1,0,32,0,6,0,0,0,3,0,1,25,3,0,8,0,1
"279","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_genitalium",3,67,0,0,5,1,0,0,0,49,0,0,0,0,1,4,3,2,19,0,0,0,5,0,4,3,0,0,6,0,4,0,32,5,0,1,0,15,0,0,0,10,0,1,0,21,0,3,0,2,21,0,0,10,14,0,4,0,20,1,9,1,0,15,1,8,7,0,0,2,0,3,0,0,5,7,0,2,0,2,0,2,0,2,0,7,0,2,0,2,0,1,1,1,0,4,0,0,0,16,3,0,0,4,65,0,1,1,0,0,0,20,0,32,5,1,8,18,0,7,1,123,1,0,1,29,2,2,0,0,0,4,0,4,0,34,0,10,0,3,0,1,0,0,0,1,0,4,0,8,0,17,0,4,1,3,6,34,1,1,0,1,0,37,0,0,41,0,0,78,0,1,0,0,6,0,3,3,0,5,0,22,1,5,0,1,0,7,1,2,1,1,4,0,1,0,14,4,0,6,0,9,1,2,26,1,0,3,0,5,5,8,2,2,0,2,3,3,0,8,2,4,0,12,2,0,1,14,0,35,0,3,14,0,2,1,5,0,0,1,0,1,0,62,94,3,0,2,0,0,0,0,1,0,0,0,22,1,0,3,3,8,1,5,0,0,0,3,1,2,0,0,5,0,0,6,0,0,0,5,0,1,5,5,0,6,0,3,0,2,1,0,0,0,0,0,0,1,1,1,15,2,0,7,2,0,0,29,0,0,0,4,0,0,0,26,2,1,0,25,0,17,0,14,6,5,3,1,0,0,0,3,2,3,36,8,6,4,3,26,13,6,20,0,3,1,5,3,1,0,2,0,6,0,2,2,3,5,10,7,2,0,4,4,2,0,7,2,1,1,15,0,2,0,5,1,9,5,11,6,10,3,2,1,4,0,3,2,13,17,8,2,0,0,5
"280","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glaucum",9,1,0,0,2,0,0,4,1,8,0,1,13,0,2,6,4,0,7,0,7,0,0,0,3,29,0,0,12,47,4,0,8,0,0,0,0,8,0,2,0,8,0,0,0,6,6,0,0,1,0,0,0,13,0,10,3,1,2,0,8,0,0,1,0,3,0,0,0,0,0,3,0,0,2,6,0,1,0,0,0,2,0,2,1,16,0,1,16,5,0,1,3,0,0,3,0,0,0,10,2,0,0,21,3,0,1,2,0,0,0,3,0,0,2,0,5,11,0,0,0,5,15,0,0,5,0,2,29,0,0,6,0,3,0,3,0,0,0,3,22,0,0,6,3,7,0,6,0,33,0,7,103,1,0,4,0,3,0,0,0,1,1,2,0,11,1,0,1,2,6,0,1,0,3,2,2,2,0,8,0,8,1,2,0,2,1,27,63,4,0,0,1,0,5,0,1,4,4,24,2,4,4,3,8,0,31,7,0,2,0,3,3,0,0,10,1,0,0,1,1,0,1,2,0,0,0,6,1,2,2,35,0,0,0,2,8,0,0,2,3,5,0,13,3,6,3,2,6,0,0,0,11,0,3,0,1,0,3,1,5,6,0,0,0,0,0,6,0,0,1,1,0,0,0,7,1,3,0,3,0,2,0,1,28,0,0,10,2,76,1,0,0,0,0,2,0,0,0,2,32,0,0,3,0,0,3,6,10,0,0,10,4,0,0,3,3,0,0,5,0,17,1,3,2,0,4,15,2,0,12,0,2,0,6,1,2,1,4,6,2,3,8,0,3,2,15,0,0,0,6,0,5,0,3,59,2,1,3,10,3,2,8,3,2,0,5,15,1,3,1,14,0,1,7,0,1,0,5,3,5,0,1,0,0,0,11,0,5,21,1,23,3,0,13
