#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2014C-3051","SAMN08579564","PRJNA218110","GCA_003017915.1","Complete",5.69012,50.6479,"chromosome:NZ_CP027338.1/CP027338.1; plasmid unnamed:NZ_CP027339.1/CP027339.1",,2,5230,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/915/GCA_003017915.1_ASM301791v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/915/GCF_003017915.1_ASM301791v1"
"Escherichia coli O157:H7","Bacteria;Proteobacteria;Gammaproteobacteria","TR01","SAMN10364854","PRJNA503568","GCA_003722195.1","Complete",5.5698,50.5,"chromosome:NZ_CP033605.1/CP033605.1",,1,5209,"2018-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/722/195/GCA_003722195.1_ASM372219v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/722/195/GCF_003722195.1_ASM372219v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 43889","SAMN01916927","PRJNA321364","GCA_006874785.1","Complete",5.66029,50.4557,"chromosome:NZ_CP015853.1/CP015853.1; plasmid unnamed:NZ_CP015854.1/CP015854.1",,2,5327,"2019-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/874/785/GCA_006874785.1_ASM687478v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/785/GCF_006874785.1_ASM687478v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","28RC1","SAMN04202540","PRJNA299666","GCA_001612475.1","Complete",5.6431,50.5639,"chromosome:NZ_CP015020.1/CP015020.1; plasmid p28RC1:NZ_CP015021.1/CP015021.1",,2,5336,"2016-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/612/475/GCA_001612475.1_ASM161247v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/612/475/GCF_001612475.1_ASM161247v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","ERL05-1306","SAMN10177963","PRJNA494713","GCA_008926185.1","Complete",5.64471,50.4547,"chromosome:NZ_CP032803.1/CP032803.1; plasmid pERL05-1306:NZ_CP032804.1/CP032804.1",,2,5348,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/926/185/GCA_008926185.1_ASM892618v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/185/GCF_008926185.1_ASM892618v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","AUSMDU00002545","SAMN13191633","PRJNA556438","GCA_009664455.1","Complete",5.64778,50.4564,"chromosome:NZ_CP045975.1/CP045975.1; plasmid pAUSMDU00002545_01:NZ_CP045976.1/CP045976.1",,2,5224,"2019-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/455/GCA_009664455.1_ASM966445v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/455/GCF_009664455.1_ASM966445v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","ERL06-2503","SAMN10177966","PRJNA494713","GCA_008926125.1","Complete",5.63823,50.4564,"chromosome:NZ_CP032795.1/CP032795.1; plasmid pERL06-2503:NZ_CP032796.1/CP032796.1",,2,5347,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/926/125/GCA_008926125.1_ASM892612v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/125/GCF_008926125.1_ASM892612v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2010C-3347","SAMN04549845","PRJNA218110","GCA_004010675.1","Complete",5.63393,50.4531,"chromosome:NZ_CP034806.1/CP034806.1; plasmid p2010C-3347:NZ_CP034807.1/CP034807.1",,2,5285,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/675/GCA_004010675.1_ASM401067v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/675/GCF_004010675.1_ASM401067v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","HB6","SAMN11633027","PRJNA530317","GCA_009431955.1","Complete",5.63551,50.5559,"chromosome:NZ_CP040305.1/CP040305.1; plasmid pO157:NZ_CP040306.1/CP040306.1",,2,5268,"2019-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/431/955/GCA_009431955.1_ASM943195v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/431/955/GCF_009431955.1_ASM943195v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","08-3914","SAMN04504880","PRJNA218110","GCA_004010715.1","Complete",5.62466,50.4561,"chromosome:NZ_CP034808.1/CP034808.1; plasmid p08-3914:NZ_CP034809.1/CP034809.1",,2,5236,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/715/GCA_004010715.1_ASM401071v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/715/GCF_004010715.1_ASM401071v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","PA20","SAMN04040761","PRJNA294158","GCA_001865295.1","Complete",5.6186,50.5505,"chromosome:NZ_CP017669.1/CP017669.1; plasmid pO157:NZ_CP017670.1/CP017670.1",,2,5355,"2016-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/295/GCA_001865295.1_ASM186529v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/295/GCF_001865295.1_ASM186529v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","ERL06-2442","SAMN10177964","PRJNA494713","GCA_008926165.1","Complete",5.61022,50.4562,"chromosome:NZ_CP032801.1/CP032801.1; plasmid pERL06-2442:NZ_CP032802.1/CP032802.1",,2,5307,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/926/165/GCA_008926165.1_ASM892616v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/926/165/GCF_008926165.1_ASM892616v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","9000","SAMN05544760","PRJNA336330","GCA_001890285.1","Complete",5.61173,50.4593,"chromosome:NZ_CP018252.1/CP018252.1; plasmid pO157:NZ_CP018253.1/CP018253.1",,2,5213,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/285/GCA_001890285.1_ASM189028v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/285/GCF_001890285.1_ASM189028v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","472","SAMN05544767","PRJNA336330","GCA_001890245.1","Complete",5.60887,50.4575,"chromosome:NZ_CP018245.1/CP018245.1; plasmid pO157:NZ_CP018246.1/CP018246.1",,2,5292,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/245/GCA_001890245.1_ASM189024v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/245/GCF_001890245.1_ASM189024v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","155","SAMN05544764","PRJNA336330","GCA_001890205.1","Complete",5.60443,50.4543,"chromosome:NZ_CP018237.1/CP018237.1; plasmid pO157:NZ_CP018238.1/CP018238.1",,2,5274,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/205/GCA_001890205.1_ASM189020v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/205/GCF_001890205.1_ASM189020v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","RM19259","SAMN13429994","PRJNA573729","GCA_009738455.1","Complete",5.60932,50.4509,"chromosome:NZ_CP046527.1/CP046527.1; plasmid pRM19259:NZ_CP046526.1/CP046526.1",,2,5217,"2019-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/738/455/GCA_009738455.1_ASM973845v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/738/455/GCF_009738455.1_ASM973845v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2013C-4187","SAMN08579590","PRJNA218110","GCA_003019175.1","Complete",5.6053,50.6507,"chromosome:NZ_CP027546.1/CP027546.1; plasmid unnamed:NZ_CP027547.1/CP027547.1",,2,5219,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/175/GCA_003019175.1_ASM301917v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/175/GCF_003019175.1_ASM301917v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","112","SAMN08773024","PRJNA445267","GCA_005222285.1","Complete",5.60101,50.452,"chromosome:NZ_CP028683.1/CP028683.1; plasmid pTA112:NZ_CP028684.1/CP028684.1",,2,5198,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/285/GCA_005222285.1_ASM522228v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/285/GCF_005222285.1_ASM522228v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","111","SAMN08773023","PRJNA445267","GCA_005222405.1","Complete",5.60099,50.452,"chromosome:NZ_CP028685.1/CP028685.1; plasmid pTA111:NZ_CP028686.1/CP028686.1",,2,5198,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/405/GCA_005222405.1_ASM522240v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/405/GCF_005222405.1_ASM522240v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","SRCC 1675","SAMN04202539","PRJNA299765","GCA_001612495.1","Complete",5.60197,50.5524,"chromosome:NZ_CP015023.1/CP015023.1; plasmid pSRCC 1675:NZ_CP015022.1/CP015022.1",,2,5344,"2016-04-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/612/495/GCA_001612495.1_ASM161249v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/612/495/GCF_001612495.1_ASM161249v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NZRM4169","SAMN10177969","PRJNA494713","GCA_008925965.1","Complete",5.59678,50.455,"chromosome:NZ_CP032789.1/CP032789.1; plasmid pNZRM4169:NZ_CP032790.1/CP032790.1",,2,5307,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/925/965/GCA_008925965.1_ASM892596v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/925/965/GCF_008925965.1_ASM892596v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2015C-3163","SAMN08579553","PRJNA218110","GCA_003017375.1","Complete",5.59429,50.6495,"chromosome:NZ_CP027219.1/CP027219.1; plasmid unnamed:NZ_CP027220.1/CP027220.1",,2,5228,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/375/GCA_003017375.1_ASM301737v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/375/GCF_003017375.1_ASM301737v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","06-00048","SAMN02808332","PRJNA241122","GCA_001677475.1","Complete",5.7123,50.4203,"chromosome:NZ_CP015229.1/CP015229.1; plasmid pCFSAN004178P_02:NZ_CP012498.1/CP012498.1",,2,5283,"2016-07-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/475/GCA_001677475.1_ASM167747v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/475/GCF_001677475.1_ASM167747v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","F1 E4","SAMN11633026","PRJNA530317","GCA_009432215.1","Complete",5.59179,50.5555,"chromosome:NZ_CP040307.1/CP040307.1; plasmid pO157:NZ_CP040308.1/CP040308.1",,2,5206,"2019-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/432/215/GCA_009432215.1_ASM943221v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/432/215/GCF_009432215.1_ASM943221v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2013C-3342","SAMN08579610","PRJNA218110","GCA_003019215.1","Complete",5.556,50.6024,"chromosome:NZ_CP027766.1/CP027766.1; plasmid unnamed:NZ_CP027767.1/CP027767.1",,2,5184,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/215/GCA_003019215.1_ASM301921v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/215/GCF_003019215.1_ASM301921v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2013C-3264","SAMN02991245","PRJNA218110","GCA_003019155.1","Complete",5.5875,50.5711,"chromosome:NZ_CP027544.1/CP027544.1; plasmid unnamed:NZ_CP027545.1/CP027545.1",,2,5095,"2018-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/155/GCA_003019155.1_ASM301915v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/155/GCF_003019155.1_ASM301915v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","FSIS11705876","SAMN08167607","PRJNA498670","GCA_009664305.1","Complete",5.57801,50.4559,"chromosome:NZ_CP035545.1/CP035545.1; plasmid pO157:NZ_CP035546.1/CP035546.1",,2,5161,"2019-11-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/305/GCA_009664305.1_ASM966430v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/305/GCF_009664305.1_ASM966430v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2009C-4687","SAMN04531170","PRJNA218110","GCA_004010655.1","Complete",5.57476,50.4559,"chromosome:NZ_CP034799.1/CP034799.1; plasmid p2009C-4687:NZ_CP034800.1/CP034800.1",,2,5186,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/655/GCA_004010655.1_ASM401065v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/655/GCF_004010655.1_ASM401065v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","2010C-3142","SAMN04505650","PRJNA218110","GCA_004010695.1","Complete",5.57347,50.4559,"chromosome:NZ_CP034801.1/CP034801.1; plasmid p2010C-3142:NZ_CP034802.1/CP034802.1",,2,5202,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/695/GCA_004010695.1_ASM401069v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/695/GCF_004010695.1_ASM401069v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","319","SAMN05544768","PRJNA336330","GCA_001890325.1","Complete",5.56738,50.4551,"chromosome:NZ_CP018241.1/CP018241.1; plasmid pO157:NZ_CP018242.1/CP018242.1",,2,5132,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/325/GCA_001890325.1_ASM189032v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/325/GCF_001890325.1_ASM189032v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","272","SAMN05544766","PRJNA336330","GCA_001890225.1","Complete",5.56836,50.456,"chromosome:NZ_CP018239.1/CP018239.1; plasmid pO157:NZ_CP018240.1/CP018240.1",,2,5258,"2016-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/225/GCA_001890225.1_ASM189022v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/225/GCF_001890225.1_ASM189022v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC9112","SAMEA3403050","PRJEB6403","GCA_900635185.1","Complete",5.4687,50.7,"chromosome 1:NZ_LR134079.1/LR134079.1",,1,4980,"2018-12-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/185/GCA_900635185.1_39038_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/185/GCF_900635185.1_39038_C01"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NADC 5570/86-24/6565","SAMN05729957","PRJNA341860","GCA_001806265.1","Complete",5.5598,50.4517,"chromosome:NZ_CP017249.1/CP017249.1; plasmid pO157:NZ_CP017250.1/CP017250.1",,2,5119,"2016-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/265/GCA_001806265.1_ASM180626v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/265/GCF_001806265.1_ASM180626v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NADC 5570/86-24/6564","SAMN05729956","PRJNA341860","GCA_001806285.1","Complete",5.55946,50.4516,"chromosome:NZ_CP017251.1/CP017251.1; plasmid pO157:NZ_CP017252.1/CP017252.1",,2,5109,"2016-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/285/GCA_001806285.1_ASM180628v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/285/GCF_001806285.1_ASM180628v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","108","SAMN08773020","PRJNA445267","GCA_005222325.1","Complete",5.55917,50.4516,"chromosome:NZ_CP028693.1/CP028693.1; plasmid pTA108:NZ_CP028694.1/CP028694.1",,2,5133,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/325/GCA_005222325.1_ASM522232v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/325/GCF_005222325.1_ASM522232v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","MA11","SAMN11633022","PRJNA530317","GCA_009432915.1","Complete",5.55655,50.457,"chromosome:NZ_CP040314.1/CP040314.1; plasmid pO157:NZ_CP040315.1/CP040315.1",,2,5165,"2019-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/432/915/GCA_009432915.1_ASM943291v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/432/915/GCF_009432915.1_ASM943291v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","105","SAMN08773017","PRJNA445267","GCA_005222365.1","Complete",5.55223,50.4516,"chromosome:NZ_CP028700.1/CP028700.1; plasmid pTA105:NZ_CP028701.1/CP028701.1",,2,5131,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/365/GCA_005222365.1_ASM522236v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/365/GCF_005222365.1_ASM522236v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","123","SAMN08773035","PRJNA445267","GCA_005221785.1","Complete",5.55159,50.4516,"chromosome:NZ_CP028652.1/CP028652.1; plasmid pTA123:NZ_CP028653.1/CP028653.1",,2,5135,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/221/785/GCA_005221785.1_ASM522178v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/785/GCF_005221785.1_ASM522178v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","124","SAMN08773036","PRJNA445267","GCA_005221765.1","Complete",5.55134,50.4526,"chromosome:NZ_CP028650.1/CP028650.1; plasmid pTA124:NZ_CP028651.1/CP028651.1",,2,5126,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/221/765/GCA_005221765.1_ASM522176v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/765/GCF_005221765.1_ASM522176v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","122","SAMN08773034","PRJNA445267","GCA_005222005.1","Complete",5.54691,50.4515,"chromosome:NZ_CP028654.1/CP028654.1; plasmid pTA122:NZ_CP028655.1/CP028655.1",,2,5133,"2019-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/005/GCA_005222005.1_ASM522200v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/005/GCF_005222005.1_ASM522200v1"
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","06-3462","SAMN04549651","PRJNA218110","GCA_004010635.1","Complete",5.54524,50.4555,"chromosome:NZ_CP034794.1/CP034794.1; plasmid p06-3462:NZ_CP034795.1/CP034795.1",,2,5151,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/635/GCA_004010635.1_ASM401063v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/010/635/GCF_004010635.1_ASM401063v1"
